label,text
racisme,الجزاءر داءما تقول انها الشعوب المضلومه اين موقفها الشعب الاكراني هه متخوفه روسيا ان يقطع عليها الخرده عينها علي الصحراء المغربيه فقط
religion_hate,لماذا اليهود الصهاينه لكل الخيانه والخسه الارض
religion_hate,قال الشيخ ربيع المدخلي حفظه الله قتل الحسين ان قاتل الحسين الفاجر عبيد الله بن زياد والافجر الشيعه غرروا بالحسين واستخرجوه مكه الي الكوفه وقد بايعوه جاءهم غدروا وقتلوه فلماذا التباكي طوال القرون المجموع للشيخ ربيعجص
identity-based,الرافضه يتحركون بدعم غربي صهيوني
racisme,منحطين الاثنين مجرد احذيه للفرس المجوس الحلبوسي والمفتي الصميدعي يقبلون راس المجرم قاني بغداد الرشيد عليهم الله مايستحقون
racisme,هالشيعي اليعل يعرف ابوه يعرف جنسيته فارسي عراقي عرف معاويه رضي الله عنه
racisme,الدولار اصلا خمسه الديزن الخارجيه صفر اي حاجه بتسمعوها فبركه البانيه مفيش مصاريف ترخيص المرور دي اشاعات شعب هراي ياللي متتسمو
racisme,تفهم مايفهمون فسرو سوره الفيل هواهم حتي رسول الله يشير ان اصحاب الفيل ابرهه سوق القيسين الدين لاحمل مورثهم الحقد لليمانيه وشيطانه اي شي يرمز لليمانين
identity-based,للتجييش الطاءفي بهدف الوصول الي حرب طاءفيههذا الداعشي الحقيقي
identity-based,حزب العميل متخصص تصفير الخزينه هدر المال العام
racisme,ماالفرق مليشيا فاغنر الروسيه والقاعده وداعش ومليشيات ايران المليشيات شعارها القتل والارهاب واحداث الدمار وغالبا تكون مستاجره وتعمل لحساب الغير وان بعضها يهدف الي الحكم والتسلط سواء للمليشيا نفسها او لحساب انظمه تستخدمها اجل ضمان بقاءها الحكم وفرض هيبتها
identity-based,طب دا فريق هزيل عامل زي برشلونه
identity-based,هه السعوديهدولهعظميوليس اماره ابوظبي فلن تسطلحالسعوديهمع الصهاينهوبشار الكيماويحتي تسطلحالملاءكهمع الشياطين نقطهعلي السطر
racisme,وش اخبار مغتصبه الطفل قبضتو عليها لسه اسوء دوله بحقوق المراه رفعتوا مستواكم للثاني طيب وش اخبار السعودي اللي عنف اطفاله الخمسه ان شاء الله نمسك
identity-based,يعني انت الحين رديت رد قوي
religion_hate,اغلب يكرهون الحجاج بن يوسف الثقفيهم الخوارجهم داعشتنظيم القاعدهتنظيم الاخوان المسلمينرافضهالشعوبيينالله يرحمه ويغفر اسكنه فسيح جناته
racisme,ليش اخر التغريده قايل اسم ابوك الله يحشرك معاويه عربي متصهين
identity-based,لاتنشرو اقوال السفيه الصهيوني فالنار تاكل نفسها ان تجد ماتاكله
identity-based,ماهي علي ايش يحسدونهم ياحسره لابطولات ولامنجزات ماغير صياح وضجيج الحكايه باختصار عقوبه وعداله الله نزلت علي النادي المفتري الفاسد
identity-based,يوافق اليوم ذكري مرور عاما علي مجزره الحرم الابراهيمي والتي اسفرت استشهاد مصليا واصابه اخرين نفذها المجرم الصهيوني باروخ غولدشتاين شهر رمضان داهم الحرم واطلق النار علي المصلين بينما اغلق جنود الاحتلال الحرم ومنعوا انقاذ الجرحي
identity-based,اقولك مذنبه تقولي ترضي علي اختك نصيحتي لاتكفير المسلم علي ذنب لاتصير الخوراج كلاب النار
identity-based,حاولتم يكره الناس احكام الاسلام العكس ينتشر الاسلام رغم الحروب انتشار عظيم الملل العالم انه دين الفطره ياشواذ الماسونيه
racisme,وبالاخير بتمشو بالبوط الايراني لانو هواكم فارسي
racisme,يع يع يع الفارسي والله انكم انذال بشكل طبيعي انتم سواء قتلتم اهل السنه
identity-based,الوحشالعولمي الماسوصهيوني يضرب عنهم انه فسطاط نصره للامام المهدي السلام وقدتحدث بايدن سابقابذلك لقد تشكلت الاحلاف وهي امارات اننا يدي الساعه وعلي الارض حزبين لاثالث حزب يمهد للمهدي السلام وحزب يمهد للدجال لعنه الله
religion_hate,يقتلون فقهاء السنه وعلماءهم اليمن والعراق وسوريا ولبنانوينشرون الزنا باسم المتعه ويقتلون الرجال ويشيعون الاطفال ويغتصبون النساء ويجوعونهم لاجل مشروعهم المجوسي المدعوم يهوديا وغربيا منطقتنا العربيه انصروا اخوانكم السنه بالدعاء والتفوا حول حكام بلاد الحرمين ضدهم
identity-based,سعيده الاهلاويه ازاي يولع الاهلي وجمهوره ناديه القذر امتي زمالكاوي بيتمني سعاده الاهلي
identity-based,الفار اضرك بدايتهمشجع نادي الرشاوي وجه يتكلم
identity-based,الاصلاحين عندماتنتقدهم يقولو عفاشي اما العفاشي فقط تتصل رنتين او تعمل رساله واتساب يرد ويقذفك ويقول انت حوثي ومثلك ياصدق ونسي اي قدم عفاش وحزبه لارهابي الحوثي طرشوها يفهمو مطار عدن الان
identity-based,يوافق اليوم ذكري مرور عاما علي مجزره الحرم الابراهيمي والتي ادت لاستشهاد مصليا واصابه اخريننفذها المجرم الصهيوني باروخ غولدشتاين الخامس شهر رمضان داهم الحرم واطلق النار علي المصلين
identity-based,قطعان ضحايا كيان الوهم والفشل الازلي مجرد ان ينتمي لتشجيع الكيان الفاشل تلتزم بامربن اساس الشعار مبادي دايخه كره الهلال وكل يذكر الهلال بخير يمنع ذكرو او الاعتراف باي انجاز للهلال عدم التفكير او التساءل اي هبد كلام يطلع الاداره كنت مخضرم او خبير بالرياضه
identity-based,يرجال تعقب يسويها الوضيع هه
racisme,الواقع صنعت فرنسا اسبانيا اداتهما الجزاءر مرتزقه مغاربه اسموهم بوليساريو اجل فصل مغربها سرقه حتي يضمنوا بذلك شغل المغرب مشكل كبير العمل علي عدم ايجاد اي حل حتي يضمن لص اللصوص نصيبه الغنيمه
religion_hate,رضي الله عنه وارضاه قاهر المجوس والرافضه
racisme,الجنوب المنتصر علي ايران جغرافيا اليمنوالشمال المسلم وللاسف الشديد فان الاعلاميين الخليجيين ينظرون الي الحرب عبر منظار اعورفيعتبرون الجنوب عميل لايران والشمال العرب الاقحاح راجعوهم باشا تركيا ويا كسري الفرس ويا ابرهه الحبشه مات
identity-based,حسبي الله ونعم الوكيل لازم يهدو الزمالك باي طريقه وكل مره بيكون والزمالك بيكون هدوء وقبل ماتش مهم دوله وسخه وظالمه وبتعمل لنادي حسبي الله ونعم الوكيل الله والله
racisme,سياتي يوما ونتعلم تاريخ اجدادنا المصريين العظيم ونرفض ونفضح تاريخ الغزاه العرب المخزي
religion_hate,اللهم ارضي صحابه رسول الله فيهم معاويه كاتب الوحي نغــل ونطـفه ظهر مجوسي
identity-based,تثبت جديد انك متصهين خبيث
racisme,شخص اصله تركي الامراء الاتراك عنصرين ضد العرب ايام الثوره الكبري
religion_hate,الجاهل اما يعلم ان السني لايكون سني واسلامه صحيح اذا يترضي الصحابه فيهم معاويه رضي الله عنه اما يعلم ان سب معاويه وباقي الصحابه يعتبر كفر مخرج الملهيحاول الصعلوك ان يفرق الوهابيه والسنه هه انتم مضحكين ابناء اللاطمات
religion_hate,هه يزحف الي نجاسه المعممين يتبارك بيها المشرك
identity-based,الاحتلال الصهيوني يعتدي بالضرب علي شابين وينكل شارع الواد داخل البلده القديمه بالقدس
racisme,النظام السعودي والسعوديين تربوا كتاب الله وسنه نبيه وانتم حرفتوا القران وموجود مراجعكم انتم حتي تمتلكون دور اساسي المنطقه انتم ساده واذناب لايران سيطروا عليكم ونهبوا ثرواتكم واهلك شعبكم انتم اضعف دوله الان بعدما عزكم الله السعوديه ووقفت بجانبكم سنوات ضد ايران
racisme,ان تولي الخسيسي الحكم مصر يقتل ويحرق ويعتقل المصريين الاحرار والشرفاء ويتسبب قتل الكثير الابرياء ويدمر البلد واهله ويهلكهم بالفتن والمحن والبلاء الا لعنه الله علي خاءن وعميل وذليل ولقيط يخدم الاحتلال الاسراءيلي ويتعاون معهم ويساعدهم ضد اخوانه المصريين
religion_hate,العطاس صوفي قذر حاقد علي السعوديين
racisme,نسل بربري
identity-based,حول جحاف البوق الفاشل الحوثي فضحهم وضعه حاليا غرفه محلق بطل تويتر ودجاجه سيد الشمه
racisme,طيب ان شاءالله يتعثر اليوم الي بالي بالكم ويجي بمقطع ويقول بمناسبه تعثر اعيال اللحجيه ويتبرع بعشاء والا غداء ويخليها لحجنه علي اعيال اللحجيه
racisme,فرق كاتب الوحي وبين منافث مجوسي ابن مي تع شيعي كا يفر فهمت ياابن الحي رام
racisme,انت تضحك علي يالفلسطيني صدام اعتذر للكويت الشي الوحيد الي اعتذر عنه صدام غزوه الكويت وحتي عندما سال شتم الكويتين وقال حقوق تاريخيه نزل العراقي لاسترجاعها وصدام حاكمه العراقيين علي جراءمه الا غزو الكويت انتم الان وضع المسكنه للكويت شي تعودون
racisme,ايه مسويه سعوديه اصل وفصل اجل
racisme,صدقت ورب الكعبه هءلاء ابناء ايران بالتبني هءلاء المفلسون الدنيا والاخره هءلاء كماقال الخزاعي البطل يصرحون مءخراتهم
racisme,صعب تلاقي عراقي عصر تتحكم بمصيره اذناب ايران ان يقول كلام طيب اي انجاز ايجابي سعودي
racisme,مسجل حضرمي وانت دحابشي هه مسخره
identity-based,تعقب الصهيوني ان تطي شبر ارضها واذا انت او الي مرسله رجال ادخلوا بجواز اسراءيلي وشف اكبر قطعه منك تبقي اعتقد راسك
racisme,والله الي يرقص اهله وشعبه افضل الي ترقص ملاهي الاسراءليه وبحضان اليهود محسسينا انكم اشراف وانتم زباله
identity-based,جا كالو الوهابيه فرعون رضي الله عنه وارضاه تقي نقي اهل العلم والمعرفه وكان كافرا رضي الله عنه وارضاه
identity-based,اسما عيل هنيه قاعده العديد قطر يدعو الي انتفاضه الضفه الغربيه المقصود انتفاضه ضد السلطه الوطنيه والاجهزه الامنيه الفلسطينيه
religion_hate,بغض النظر المسلسل لماذا لايمكن اهل السنه الدفاع انفسهم ضد مليشيا الالحاذ والتطرف وكلاب المجوس امن قله او فقرام جبن ام وام وام
identity-based,وجماعه الاخوان المسلمين الغير مسلمين رعاه الارهاب والتكفير لعنهم الله وقاتلهم انا يءفكون مارايك ايها الشيخ الحويني
identity-based,وصلت لقناعه ان الفقراويه مغيبين الواقع سوي اعلامي او مغيب كلهم الفكر والري اسمع
racisme,يحسبها حكم اول مصري لدولتكم مش عايز يهينكم ويذكر تاريخ محتلك السابق اكراما فقط يالفلاحه هه يعني بالعربي مصر صارت سنه فقط
identity-based,عرفت قيمته الحين ياللي مو عاجبك تجديد عقده شايف فريقك منتهي هجوميا
racisme,الشمالين خونه وعملاء وطابور الحوثين والمتحوثين وكل علي حساب الشعب الجنوب
identity-based,ابوزره الهندي قليل ادب وكذاب ودايس علي خده الهلال
religion_hate,مطار الصفويين بدمشق رءيس مجلس الشعب المصري اتي للوقوف بجانب جزار سوريا
racisme,الرءيس الجزاءري تبونالثورات الاوربيه ترعرعت بالجزاءر ومنها الثوره البرتغاليه واليونانيه والاسبانيه الان انا ادركت لماذا سميت للجزاءر بقيله الثوار ويجي المروكي ابن مملكه الزريبه ليقول الجزاءر ماعندها تاريخ هه
religion_hate,اهل البيت الله يرحمهم ويسكنهم فسيح جناته وان يحشرنا معهم يوم القيامه اما انتم حثاله مشركه ضاله
religion_hate,اسباب كثيره اهمها النيه الصادقه لدي الجنوبين محاربه المد المجوسي النيه الغير صادقه لدي الشمالين الشمال الاحتلال المجوسي
racisme,عبدالملك الحوثي الشعب يتمني حذات عبدربه منصور هادي وكبيره عليهم يتمنو حذات علي عبدالله صالح حذات عبدربه منصور هادي اشرف وجيه المسيره المسرقانيه اللصوصيه الفاسده ارجعت اليمن عام للوراء لعنه الله عليهم تجار الحروب تجار المسيره تجار الدماءباعو البلاد للفرس
racisme,منتوجاتهم كلها المجاري وهم بانفسهم معترفين واغلبيه الضحايا اهل الخليج مشكلتهم اثيوبيا وطلعوها الغلابا الله يوفقكم ويرد كيدكم لنحوركم مصارين
racisme,الضاحيه الجنوبيه خمينيه لاتمثل حضرميه
racisme,روسيا لحد الان تمتلك العقليه الشيوعيه النتنه وتبدع اطلاق الشعارات الكاذبه وحليفاتها ايران وبشار الاسد وكوريا الشماليه والصين انهم كاذبون واكثر الحومات دكتاتوريه ونظام عصابات
racisme,ايران قوم شيعي يحرف الاحاديث القران سنن الدين اصلا يجب قتلهم
racisme,تتكلم تعلم لاعبي كبير اسيا لانهم مدرسه ولاشكالك والرجال دعس اذناب المجوس ودعس اذناب اذناب المجوس الي يعززون للايراني اصحاب المسباريه
identity-based,بالنسبه للمدرب عاشور بالتاكيد انه مدرب فاشل والدليل علي قوه المحترفين عنده وفي افضل حالاته ماقدر يفوز علي القادسيه تبقا صغير عاشورالقادسيه اكبر منك ناديك وارجع للارشيف شوف فرق الفوز ناديك وبين زعيمك
identity-based,الله يتقبلهم عنده رب ويشد علي ايد الابطال المقاومين والمطاردين مذلوا الصهاينه شاباك لمستعربين لجعفاتي وجولاني ويمام ودخيل ومظليين وكل كلاب وابناء واحفاد عصابات الهاجانا والخزر هءلاء المرابطين المجاهدين ظل الهوان الداخل والخارج بطوله وشجاعه الله
identity-based,الفقراويه يفكرون اذا طلع الهلال بياخذون الدوري ويشاركون انديه العالم
racisme,اوكرانيا الدوله العميقه اوكرينا شرعنت الاسلحه الكيمياءيه الحيويه اوكرانيا اعدت وطبخت كوفيد شاهد الفيديو المرفق وشهادتهم بالسنتهم
racisme,الحرب الخفيهتقريبااكثرالعالم عارفين امريكاوبريطانياوفرنسا وايطالياوغيرهن التابعين لامريكاهم محورالشرفي انحاءالعالم الانظمهومن الشعوب
racisme,ايران يضيقون علي اهل السنه ويقيمون ويعظمون مقاما لمن اغتال عمر بن الخطاب رضي الله عنه المجوسي ابو لءلءه انهم يسبون الصحابه ويذكرون امنا عاءشه بالسوء قاتلهم الله اني يءفكون
identity-based,بلدكم اصلا تكن ياحماره الا سنه فقط ولم يحكمها مصري الا بالخمسينات تصورو هه وبعدها تجي تحاضرنا علي التاريخ ايه تاريخك اصلا وهي وماقبلها كانت مرتع للمحتلين حتي الملك فاروق يكن مصري هه هه اذا ناسيه نذكرك يالفلاحه مش معقوله غبيه وبتكذبي
racisme,وعشان نوقف تمثيلهم اتمني الدول تطبع اسراءيل ونريح نفاقهم وتمثيلهم يكونون امام الامر الواقع الي متي ونحن نعلم انهم اليهود وهم المجرمين حاقدين نجاسه
religion_hate,عاق استلم هذوله جماعه الاطار المجوسي يقدسون المرجعيه هه
identity-based,كسم نادي الاتحاد اللي بيقفلولنا شارع الكليه بسببه يومين
racisme,هسه علي شنو هاي القمه الفاشله وجايب هاي دول الحاقده انته طلع امريكا بلدك وشوف اذا ربك خلصك ايران
religion_hate,روافض ابناء متعه ينكرون جهود المسلمين السنه لان لديهم تاريخ مشرف كتاريخ عمر ابن الخطاب صلاح الدين الايوبي رضي الله عنهم
identity-based,روح اسمع اغاني اسطورتكم تاليسكا احنا ورانا نصف نهاءي ابطال ولاعاد تلفلف المنشن الهلالي
racisme,خضنا حروب تحرير مصر الروم وتكسير راس سيدك كسري ودعس اسثادك الروم الشام وصل جيش اجدادنا لاخر الارض فعل جيشنا وفعل جدادنا قدم اجدادك وجيشك انهم بسلمون حريمهم للمحتلين حتي اصبحنا لانفرق بينكم وبين الغرب عيون ملونه شعر ملون كانكم غنم هه
racisme,الجزاءر كلها لازالت محتله فرنسا منحتكم تقرير المصير استفتاء بشرط التعاون معها اتفاقيات ايفيان الجمله الاخيره فضحت معناها رءيسه وزراء ايطاليا قالت عقد او اتفاقيه حول الطاقه اردنا ابرامها الجزاءر علينا ان ناخذ موافقه فرنسا
racisme,يجي مدريدي يقول طلعتوا دوري ضعفكم يبا العن اصلك اسراءيلي وين ضعفنا كلنا اصاببات
identity-based,يارجال تعيش اسوا حالاتها والهلال وصل النهاءي وتقولي يشارك النصر الوضيع الي حتي اسيا ماعنده اللهم لاشماته
identity-based,تشبح لميسي وتشجع الخدم وش مسوي بحياتك انت
identity-based,مو تقولون اسيا ضعيفه عالم وضيع
identity-based,الكاءن البرشلوني عامل زي الطفل الزنان اللي ابوه يوم يضربه يطلع لسانه يقول وجعتني يرجع ينضرب تاني
religion_hate,والمتسلطين علي منطقتنا واسلامنا وسعوديتنا كلهم تصنيع يهودي صليبي غربي او استثمار الموجود منحرفين وتحويلهم حمير طرواده واحزاب تجمع الخونه معارضين الخارج واقليات الداخل تدعي المظلوميه وتطالب بالانفصال لدعم الاستعمار والتقسيم تم تصنيع الاخونج وتفريخهم لاستهداف السعوديه
racisme,شباب اي احد يفتحه حلگه ويگول اني عربي انتم بعثيه مرتزقه تنكرون القوميات الاخري خليك لارج وخلي ايران بلدك الاول
racisme,طلع حتي المرجعيه مشروع صهيوني امريكي
identity-based,صحيح لان عقليه الهلالي ضعيفه مايفرق اصابه القدم واصابه الحنجره
identity-based,شهره نادي وضيع زي الفقر
identity-based,مقطع حصري المنتجات والاسلحه تستورد اسراءيل الي لبنان المقطع نشر ايام قليله قيام ميليشيا حزب الشيطان الارهابي تطبيعه اسراءيل
racisme,الحديث السلام الحوثي اشبه بالحديث الشرف عاهره الحوثي عقد مءات الاتفافيات الحكومه حول السلام واعاده اعمار دمره خلال سته حروب سبقت الانقلاب اليوم وقد اسقط الدول بجيشها وسلاحها ومواردها الضخمه تتوقعون ان يتراجع بتوقيع علي ورقه اتفاق
racisme,يارجال التحالف دمرجيش بنوه الدحابشه ثروات الجنوب وماقصروالتحالف نثروبه نثرولاتزعل انا الجنوب ابين
identity-based,الحشد الشركي لعنه الله عليهم
racisme,عينك علي الجزمه عتيبي
identity-based,مش دي الواطيه اللي امها اقنعتها انها تطلب الطلاق وترفع دعوي بالطلاق عشان العسكر اقنعوها انها هتتخد لقب الملكه الام وبالفعل اطلقت فاروق سافروا المنفي
identity-based,يوافق اليوم ذكري مرور عاما علي مجزره الحرم الابراهيمي والتي ادت لاستشهاد مصليا واصابه اخرين نفذها المجرم الصهيوني باروخ غولدشتاين الخامس شهر رمضان داهم الحرم واطلق النار علي المصلين بينما اغلق جنود الاحتلال الحرم ومنعوا انقاذ الجرحي
identity-based,اثرت فيك يابسام الفقراوي يرد ويهرب
identity-based,مهوب شغلك الخلاء ياقوطي شعيب ووادي ينبحون الخلاء الخلاءسي
racisme,فك صرمك الحوثيين مشم بالاول عصابه مسحت فيكم الارض وبتحكوا حالكم دوله
racisme,الشماليين واحذيتهم يريدون رفع المقبوره الجنوب باي ثمن الشمال حكومه الحوثي يستخدم لاغراض مختلفه
racisme,ايران معها تاكل حزب السلاح عنده مصادر تمويل كلها تجاره مخدرات سلاح ابراهيم بزي مش شيعي ثري عنصر حزبلاطي بييض اموال لحزب السلاح
racisme,يخطف صح شغاله المافيا المدغشقيريه
religion_hate,سبقتهم الصين بافعالها وجاءت كورونا وقتها الهندوس وجدوا مشافي المسلمين تستقبلهم وعندما اكتملت الطاقه الاستيعابيه جهزوا مراكز ميدانيه لاستقبال الحالات وكانت ملحمه انسانيه تءكد التضامن اليوم نسوا لان تعاليم الهندوس تخلوا عنصريه وارهاب تابه اوروبا
identity-based,حتي والهلال ياخذ البطولات يحب يطقطق علي اخوه الصغير صغير الرياض تواضع الاصل يلتفت مشجع الهلال لانكم شيء والله التفت الهلالي انتم طي النسيان طقطقه الهلالي علي النصر نعمه للنصر
identity-based,صياح ونياح الخدم الحكم الاجنبي والمحلي ابشر ابو فلاته عندي حكم فضاءي يتنقل المريخ والمشتري
identity-based,الله يعز محمد بن سلمان قامع الصحونج المتطرفين حيلكم ورا الشاشه
identity-based,محترفين الاهلي سافيو يوم مراته ماجات وركبه خسعت معانا تاو جاي يموت عندنا معلول عايز دار مسنين ديانج بقاله شهرين عايش الذكريات القندوسي جاي يقعد دكه كريستو معرفش احنا جايبنه ليه
racisme,وانت ابحث ايهم ابوك جنود فرنسا للان الجنود الفرنسيين اثناء اغتصابهم لنساءكم يستعملو العزل الطبي مانتج حمل اغلب المغتصبات واصبحتم سلاله فرنسيه بثوب عربي
identity-based,ينطبق علي النادي التعيس اللي عندنا نادي ابو زنيفر وربعه
identity-based,العلمانيين بتوع مصر الشرق الاوسط عندهم حضاره اخلاق للاسف فاهمين الدنيا بمقياس معوج للاسف فاكرين انهم متحضرين علشان لابسين قميص بنطلون ميكرو جيب
racisme,العرب للحينهم عقليتهم مصدي تطوير تعليم يسبون الصحابه ولك الصحابه مو دارين عنك
identity-based,ومنتخبك التعبان شارك اساسا
religion_hate,الكلام امام الكمرات والتصوير والتبجح هياطهم السوشل ميديا الرافضي الوسخ يطب يد سني خلاه يعملها علي نفسه واقف الرعب هذولي الروافض شجعان امام الكيمرات وفي الاماكن المغلقه ولاكن وقت الباس مالهم وجود بطولاتهم اللطم فقط عليهم الله مايستحقون
identity-based,يوافق اليوم السبت الموافق الذكري الـ لمجزره المسجد الابراهيمي مدينه جنوبي الضفه والتي اسفرت استشهاد مصليا واصابه اخرين نفذها المجرم الصهيوني باروخ غولدشتاين الـ شهر رمضان يزال الاحتلال الصهيومني يواصل اطماعه الدينيه بحق المسجد
identity-based,الكل يرحب بالفقر النادي المنبطح والحكم المرتعش اي رياضه واي دوري
identity-based,يقوله الكلب الصهيوني ايدي كوهين نتاءج فتح اجواء السلطنه امام الطيران الاسراءيلي
identity-based,مسوي خوي انت ووجهك الفقراوي
identity-based,حسبنا الله ونعم الوكيل الساسه والعسكر المتسلقين
identity-based,عموما يحاول اظهار ابو لءلءه المجوسي علي انه بطل الفرس يدعمون الاخوان وظهيرهم الخفي اما السيسي فهو بطل ويكفي انه طهر مصر الاخوان الخونه يشبه عمر بن الخطاب قضي علي الفتن
identity-based,يارب يارب ياقلب حر يارب نفرح الليله ونقهر بنو فقر علي شاكلتهم
religion_hate,منذر الزيديه قتل اهل البيت غباء علماء الزيديه انهم زالوا يكررون مساله قتل الحسين
identity-based,كذب الي رسخوه الاخونجيه عقول الجميع عبر تزوير المناهج والبرامج التلفزيون لعنه الله علي العثمانيين قتلوا اجدادنا نجد والجنوب والمدينه انبطاح للترك مشكله
religion_hate,اذا امير المءمنين بشره الله بالجنه ويخاف العذاب فكيف يارافضه تسبونه وتسبون عاءشه ودينكم كله بدع وخرافات وغلو
identity-based,وانت يمثلك يالبيحاني شكلهم الحوثين يارخيص كفانا الله شروركم ايها الاوغاد
racisme,تحس العرب قوميه مريضه نفسيا الازل عيال الكلب تترحم وتمجد بصدام قتل ونكل بشعبه غزانا قتل عيالنا ونهبنا اخر شي تقول الحساب رب العالمين انت وياه عيال ال
identity-based,الانبطاح تشوفه اليوم ياكبير اسيا الدحيل الي بيزفكم للنهاءي زي مازفكم اوراوا علي ارضه شراء النجاح عداتكم
religion_hate,تاكل خرا انت واللي المقطع رضي الله معاويه ولعنكم الله يالرافضه
identity-based,كلمه الله يعينك تحتاجينها انتي يالفلاحه اللي بتفتخري تاريخ العثماني محمد علي باشا لاكرامه عزه هه ماهو نهايه اللي بيدعي انه يملك تاريخ خيخ
racisme,قسما بالله مذابح النجديين لاهالي الجزيره العربيه وبالاخص الحجاز والقطيف والاحساء لكان تعداد السعوديه اليوم مقارب لتعداد باكستان ربما مليون نسمه ولكان الشيعه اليوم نصف تعداد السكان
racisme,ده امك ان شاء الله هتتفرموا الصيف تدين تدان زي اللي عملتوه العراق ووتنضير اليهود الفلسطينين هيروق عليكم بوتين بزياده وسلاما علي الدعم الغربي العقوبات علي روسيا انه وعد الله الحق
identity-based,رجال العب غيرها يوم جماهير النصر وقفت معاك محنتك بعدها جحدتهم والان راجع تقول انا نصراوي
identity-based,الاجانب والمجنسين الوزارات والمنبطحين كلهم ضد السعوديين والسعوديات الاصل والمنشا وحالفين لييشتتو الاسر وقيم المجتمع السعودي ويتفاخرون بان يكون خادم عندهم
racisme,برابره همج العرب الاف السنين كانوا يتسابقون الرمايه والمصارعه المطارحه وركوب الخيل والغرب الي اليوم يصلوا للرقي العرب الاف السنين
religion_hate,بهيمه الصرمايه بشار زعيم وهول بيشتغلوا المجوس واذنابهم ضد العرب
identity-based,سنوات والضغط والدق الاصلاحيين عسكريا وسياسيا واعلاميا وهم يمغطوا لدواخلهم استبعاد المحسوبين علي تنظيم الحمدين الانتقالي تغريده للقبلان والعقيلي وعريشي وقد كفروا بالسعوديه ويهددون بالتحالف ايران تدري تعجب مغط الاصلاحيين ام نزق ودهش الانتقالي
identity-based,شلون اكثر صعوبه والريال داعس انديه الانجليز الكبيره
racisme,مقطع قديم سنين وهذولا اذناب ايران اللي القطيف وتم تاديبهم التوحيد عصي وعلي عدو للمملكه العربيه السعوديه ياصغير
racisme,فهمت يعني ازاله الحاله الاسراءيليه وكيف وافق علي الترسيم البحري المعيب اهدي كاريش الثري مقابل قانا المعتر يعني الخطوه الاولي يليها تثبيت المشروع الصفوي الفارسي المجوسي قال وليس انا
racisme,تم القضاء علي الوحده الحكم السلالي الحوثي الايراني قريبا يعود الجنوب العربي
identity-based,التعريف ديال شيوعي يوجد اوسخ اخبت منهم تاريخ البشريه دين مله عرف اخلاق صداقه اخلاصمخلوقات حيوانيه مجرده التجربه الانسانيه لذالك ذهبت الشيوعيه الي مزبله التاريخ
racisme,والمفروض انت وكل تونسي مرتزق يطالب فرنسا بالتعويض بسبب الاحتلال والانحلال الخلقي اللي انت تمثله
racisme,العراقيين والعمانيين وربما اليمنيين اكثر صفعوا النجديين علي مر التاريخ ناحيه العرب فقط
identity-based,صدقني هيحصل شويه الكلاب اللي بيشجعوه يغورو معاه يشرفنا كجمهور يشجع الكيان وعايز اقولهم
racisme,اتبعتم دين المجوس والنتيجه لطم جلد لعن متعه خرافات وشركيات جعلت العراق بلد الي جهل غني الي فقر حريه الي ذل تمسحون اقدام الفرس وتتركين بالمعممين
identity-based,فعلا عداله شفنا فضايح ناديك الوضيع وكرهت ام لجنه المنشطات
racisme,موش باش توصل للخيوبيه ناس جايينك يقلك تونس اصلهم سود باش يرجعو سود انتوما قوقازيين عرب محتلين ارجعو منين جيتو شفتوهمش هذم وماهش تعليقات منفصله قناعه عقيده يخدمو عليها عندهم برشه موش السر
racisme,تنعق اليوم الي يوم الدين حذات بشار برقبتك انت واسيادك جلبتوا الدواعش للسيطره سوريا وقتل شعبها خدمه لاسيادك خدام الصهاينه والامريكان
identity-based,يعينهم الخمسه بمتاكد التاريخي يفجرها اقل شي الانديه الصغيره اذ ماضربتها بثلاثه وخمسه ماراح تتغير للاسف
racisme,وقت عمك صدام احتل الكويت والخافجي بكيتم وطلبتم امريكيا وبريطانيا تحميكم وجمعتم دوله تدافع عنكم وتحرر الخافجي والكويت ودفعتم للامريكان والحين ايران قصفت نصافي البترول بقيق ولم تجرء بلدك الرد وبعدين فك نفسك الحوثي سنوات ممردغكم ومحتل منطقه الحدود تتكلم مصر
racisme,بالله شو عم تسوي قواتكم طي سوريا روحوا ضبوا امن بلدكم الاول بعدين صدروا افكاركم المعفنه اسبوع مجزره ديالي مجزره السخنه سوريا كلها بايدي عراقيه شيعيه الهي ينتقم منكم
racisme,حقيقه المصري اتصاب بعقده الخواجه ودا بسبب الاحتلالات خاصتا الانجليز الجاليات الاجنبيه كانت بتحقر الزي التقليدي والشعبي علشان ميلاقوش مقاومه ضدهم لصالح انهم يعملوا يجتوهات بلبسهم وشكلهم واغانيهم فتره اتعمل حفله التراث ولبسه تشوف التعليقات علي الفيس كلها تقليل للاسف
identity-based,بجد بشفق علي حال الفقراويه وهم يلاحقون الهلال محفل خارجي وهم مشاركين الكبار فقط الحسد اعماهم وتفرغوا خارج ااملعل كجماهير مندسه جمهور الانديه تلاقي الهلال كماحدث الهلال مباراته شباب الاهلي يمكرون ويمكر الله والله خير الماكرين
religion_hate,المعيز يهود مو بشر طبيعين نقول انهم كلهم يهود المعيز فعلا برج اليهود
identity-based,مش تفوز الاول تبقي تتريقوكسه علي وكستكم
identity-based,الشبابيون والاتحاديون يملكون روح رياضيه اما انت ايها الفقراويه فقلوبكم سوداء كاعمالكم
